SAMPLEID	VERDY19	Plrevelo.MOCKZYMO	Plrevelo.NT4	VERDY5	Plrevelo.NT2	VERDY2	VERDY55	ED	VERDY24	VERDY20	VERDY21	VERDY8	VERDY7	VERDY39	VERDY51	VERDY35	VERDY38	VERDY65	VERDY66	VERDY52	VERDY54	VERDY4	VERDY23	VERDY53	Plrevelo.IV01IV	Plrevelo.TLIB2	VERDY40	VERDY33	VERDY9	Plrevelo.TLIB1	VERDY6	Plrevelo.NT1	VERDY17	VERDY34	VERDY36	VERDY3	VERDY18	FMR	VERDY49	Plrevelo.NT5	Plrevelo.NT3	VERDY37
Afipia carboxidovorans	0	0	0	0	0.1766	18.2521	0	0	0	0	0	1.5138	0	0.1431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2924	0	0	0	0	0.1513	0	0	0	0	0	0.3953	0	0
Afipia sp. NBIMC_P1	0	0	0	0	0	0	0	0	0	1.9918	0	0	0	0	0.4037	0	0	0	0	0	0	0.4482	0	0	0	1.8844	0	0	0	0	0	0	0	0	0	3.7434	0	0	0	0	1.3185	0
Afipia sp. OHSU_II	0.1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2241	0	0	0	1.8844	0	0	0	0	0	0	0	0	0	1.6637	0	0	0	0	0.7691	0
Agathobacter rectalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6593	72.9287
Aggregatibacter sp. 2125159857	3.1297	0	0	0	0	0	0	0	0	0	0	0	0	7.2986	0	0	0	0.0463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter sp. Marseille-P9115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter sp. oral taxon 513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrobacterium pusense	0	0	4.3014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1513	0	0	0	0	0	0	0	0.2983
Agrobacterium tumefaciens	0.1565	0	3.8487	17.4403	0.8831	0.0941	0.1093	0	0	0	0	0.4129	10.6057	0.5724	0.2019	0	0	0	0	0	0.3823	0.2241	0	0	1.0426	1.1135	0	0	0	0	0	0	0	0.7565	0.4314	0.8319	11.4584	0	0	0	0	4.1759
Agrobacterium vaccinii	0	0	0	25.4337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7595	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1865	0.1491
Agrobacterium vitis	0	0	0	1.09	0	0	0	0	0	0	0	0	0	0	0.2019	0	0	0	0	0	0	0	0	0.2905	0	0	0	0	0	0	0	0	0	0	0	0	3.1609	0	0	0	0	0
Agrococcus carbonis	54.7701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.7759	0
Agrococcus jejuensis	3.4427	0	0	13.4435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122.844	0
